Time,Height,Suction
2019-07-21 07:45:00,100.0,3996.45
2019-07-21 08:00:00,100.0,3996.45
2019-07-21 08:15:00,100.0,3985.12
2019-07-21 08:30:00,100.0,3985.12
2019-07-21 08:45:00,100.0,3962.85
2019-07-21 09:00:00,100.0,3961.81
2019-07-21 09:15:00,100.0,3936.9
2019-07-21 09:30:00,100.0,3936.9
2019-07-21 09:45:00,100.0,3929.29
2019-07-21 10:00:00,100.0,3936.9
2019-07-21 10:15:00,100.0,3936.9
2019-07-21 10:30:00,100.0,3926.89
2019-07-21 10:45:00,100.0,3900.63
2019-07-21 11:00:00,100.0,3894.92
2019-07-21 11:15:00,100.0,3894.92
2019-07-21 11:30:00,100.0,3891.41
2019-07-21 11:45:00,100.0,3886.9
2019-07-21 12:00:00,100.0,3867.83
2019-07-21 12:15:00,100.0,3855.26
2019-07-21 12:30:00,100.0,3848.38
2019-07-21 12:45:00,100.0,3847.56
2019-07-21 13:00:00,100.0,3822.82
2019-07-21 13:15:00,100.0,3820.24
2019-07-21 13:30:00,100.0,3792.64
2019-07-21 13:45:00,100.0,3791.37
2019-07-21 14:00:00,100.0,3786.92
2019-07-21 14:15:00,100.0,3769.61
2019-07-21 14:30:00,100.0,3744.08
2019-07-21 14:45:00,100.0,3740.91
2019-07-21 15:00:00,100.0,3740.03
2019-07-21 15:15:00,100.0,3729.74
2019-07-21 15:30:00,100.0,3726.68
2019-07-21 15:45:00,100.0,3724.77
2019-07-21 16:00:00,100.0,3716.66
2019-07-21 16:15:00,100.0,3688.61
2019-07-21 16:30:00,100.0,3677.89
2019-07-21 16:45:00,100.0,3665.49
2019-07-21 17:00:00,100.0,3664.76
2019-07-21 17:15:00,100.0,3623.32
2019-07-21 17:30:00,100.0,3622.2
2019-07-21 17:45:00,100.0,3604.58
2019-07-21 18:00:00,100.0,3604.58
2019-07-21 18:15:00,100.0,3592.33
2019-07-21 18:30:00,100.0,3576.01
2019-07-21 18:45:00,100.0,3576.01
2019-07-21 19:00:00,100.0,3538.61
2019-07-21 19:15:00,100.0,3538.46
2019-07-21 19:30:00,100.0,3538.46
2019-07-21 19:45:00,100.0,3508.76
2019-07-21 20:00:00,100.0,3502.78
2019-07-21 20:15:00,100.0,3502.78
2019-07-21 20:30:00,100.0,3504.74
2019-07-21 20:45:00,100.0,3504.74
2019-07-21 21:00:00,100.0,3486.25
2019-07-21 21:15:00,100.0,3459.77
