Time,Height,SoilTemp
2019-07-21 15:00:00,40.0,16.52
2019-07-21 15:15:00,40.0,16.52
2019-07-21 15:30:00,40.0,16.5
2019-07-21 15:45:00,40.0,16.5
2019-07-21 16:00:00,40.0,16.5
2019-07-21 16:15:00,40.0,16.52
2019-07-21 16:30:00,40.0,16.56
2019-07-21 16:45:00,40.0,16.59
2019-07-21 17:00:00,40.0,16.6
2019-07-21 17:15:00,40.0,16.6
2019-07-21 17:30:00,40.0,16.58
2019-07-21 17:45:00,40.0,16.6
2019-07-21 18:00:00,40.0,16.65
2019-07-21 18:15:00,40.0,16.66
2019-07-21 18:30:00,40.0,16.69
2019-07-21 18:45:00,40.0,16.7
2019-07-21 19:00:00,40.0,16.71
2019-07-21 19:15:00,40.0,16.72
2019-07-21 19:30:00,40.0,16.75
2019-07-21 19:45:00,40.0,16.78
2019-07-21 20:00:00,40.0,16.8
2019-07-21 20:15:00,40.0,16.8
2019-07-21 20:30:00,40.0,16.79
2019-07-21 20:45:00,40.0,16.78
2019-07-21 21:00:00,40.0,16.77
2019-07-21 21:15:00,40.0,16.76
2019-07-21 21:30:00,40.0,16.75
2019-07-21 21:45:00,40.0,16.73
2019-07-21 22:00:00,40.0,16.72
2019-07-21 22:15:00,40.0,16.71
2019-07-21 22:30:00,40.0,16.71
2019-07-21 22:45:00,40.0,16.7
2019-07-21 23:00:00,40.0,16.69
2019-07-21 23:15:00,40.0,16.68
2019-07-21 23:30:00,40.0,16.65
2019-07-21 23:45:00,40.0,16.63
2019-07-22 00:00:00,40.0,16.6
2019-07-22 00:15:00,40.0,16.6
2019-07-22 00:30:00,40.0,16.6
2019-07-22 00:45:00,40.0,16.59
2019-07-22 01:00:00,40.0,16.6
2019-07-22 01:15:00,40.0,16.63
2019-07-22 01:30:00,40.0,16.67
2019-07-22 01:45:00,40.0,16.78
2019-07-22 02:00:00,40.0,16.85
2019-07-22 02:15:00,40.0,16.94
2019-07-22 02:30:00,40.0,17.01
2019-07-22 02:45:00,40.0,17.09
2019-07-22 03:00:00,40.0,17.16
